# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
118 -0.009994383 -0.694464629 0.719322075 -0.013955073 1.829029596 5.542525227 14.499620320 118 DJI_20260816173814_0118_D.JPG

119 -0.010137779 -0.694318487 0.719463149 -0.013850678 1.943628691 7.230177184 14.457518376 119 DJI_20260816173817_0119_D.JPG

120 -0.009883415 -0.694154674 0.719616470 -0.014273883 2.058796345 8.322631790 14.616408826 120 DJI_20260816173820_0120_D.JPG

121 -0.010093585 -0.701062904 0.712874189 -0.014809319 7.788677939 -8.021894022 15.734907910 121 DJI_20260816173823_0121_D.JPG

122 -0.009649576 -0.701195132 0.712752726 -0.014690953 8.116622483 -8.560673706 15.766600482 122 DJI_20260816173826_0122_D.JPG

123 -0.009743528 -0.701345372 0.712620833 -0.013830456 7.994018220 -10.620287758 15.852022888 123 DJI_20260816173829_0123_D.JPG

124 -0.010087607 -0.701480024 0.712482749 -0.013868955 8.034974789 -12.553935568 15.838967669 124 DJI_20260816173832_0124_D.JPG

125 -0.010432620 -0.701542439 0.712413787 -0.013998655 8.147618776 -14.178156661 15.902383483 125 DJI_20260816173835_0125_D.JPG

126 -0.011579449 -0.702587078 0.711375750 -0.013485404 8.578395090 -16.162584098 15.664384819 126 DJI_20260816173842_0126_D.JPG

127 -0.011370762 -0.702352683 0.711606895 -0.013676336 8.597496120 -15.747588034 15.659076961 127 DJI_20260816173845_0127_D.JPG

128 -0.010650694 -0.702146883 0.711820741 -0.013694848 8.551581228 -15.121889777 15.875613248 128 DJI_20260816173848_0128_D.JPG

129 -0.000231759 -0.699455302 0.714662181 -0.004493731 8.245916824 4.205738659 15.465768225 129 DJI_20260816173912_0135_D.JPG

130 -0.009426812 -0.700429050 0.713498169 -0.015186958 7.881280994 -6.610189384 15.691887559 130 DJI_20260816173915_0136_D.JPG

131 -0.182625128 -0.675082990 0.688625406 -0.191588280 7.875607868 1.814099347 16.955042806 131 DJI_20260816173918_0137_D.JPG

132 0.000138363 -0.698093665 0.715995474 -0.003961929 7.873548449 -6.360127793 15.540287779 132 DJI_20260816173921_0138_D.JPG

133 0.025043572 0.020738777 0.706923966 -0.706541739 12.173774233 2.639325525 12.000770354 133 DJI_20260816174417_0166_D.JPG

134 -0.313374482 -0.309843085 -0.634562055 0.634921015 4.859869758 2.626062364 20.524277675 134 DJI_20260816174420_0167_D.JPG

135 -0.466490991 -0.462772778 -0.532756138 0.533290172 -2.447661522 2.630243756 21.744223490 135 DJI_20260816174423_0168_D.JPG

136 -0.357644967 -0.353795957 -0.610826550 0.611399562 4.303346487 2.631464046 21.369643694 136 DJI_20260816174426_0169_D.JPG

137 0.012773027 0.011795471 0.773176730 -0.633952254 -10.111161704 2.820874357 12.872667477 137 DJI_20260816174429_0170_D.JPG

138 0.011373549 0.011836253 0.773227668 -0.633916018 -12.804946442 2.916505802 12.387850096 138 DJI_20260816174432_0171_D.JPG

139 0.427563296 0.545679122 0.571328841 -0.439325937 1.447853046 -0.492592602 23.379551676 139 DJI_20260816174435_0172_D.JPG

140 0.581900395 0.811847294 -0.035414971 0.032275085 1.767842113 5.497186772 7.535704398 140 DJI_20260816174438_0173_D.JPG

141 0.582601076 0.812739043 0.002129810 0.005167150 4.673822269 5.539246908 7.444644551 141 DJI_20260816174441_0174_D.JPG

142 0.582427172 0.812770757 -0.006888839 0.011611634 3.751831879 5.539944805 7.408106301 142 DJI_20260816174444_0175_D.JPG

143 0.582803847 0.812592675 0.002761349 0.005019450 5.764272621 5.531455228 7.525503353 143 DJI_20260816174447_0176_D.JPG

144 -0.002320521 -0.011937353 0.811071231 -0.584820976 -6.058654661 5.581675710 7.217501843 144 DJI_20260816174450_0177_D.JPG

145 0.000915335 -0.006098094 0.811770293 -0.583944318 -4.219037932 5.639941497 7.086954416 145 DJI_20260816174453_0178_D.JPG

146 0.001125801 -0.006971528 0.811298620 -0.584589325 -1.958398165 5.709570853 6.923389963 146 DJI_20260816174456_0179_D.JPG

147 0.001405964 -0.005713748 0.812131816 -0.583444333 -0.645993878 5.709877405 6.928372853 147 DJI_20260816174459_0180_D.JPG

148 -0.034917641 -0.056258439 0.809289609 -0.583666065 -8.176998729 4.615134936 9.967542263 148 DJI_20260816174502_0181_D.JPG

149 -0.130107513 -0.190363346 0.789159481 -0.569263687 -6.501092009 3.781021343 12.412674041 149 DJI_20260816174505_0182_D.JPG

150 -0.125049179 -0.179591952 0.791348665 -0.570856133 -7.585934999 3.852381337 12.267725783 150 DJI_20260816174508_0183_D.JPG

151 0.417569236 0.578565074 -0.564423035 0.415120496 -0.437578402 2.588690007 16.683462224 151 DJI_20260816174511_0184_D.JPG

152 0.415594311 0.577546882 -0.567516227 0.414302184 -0.287713803 2.510932052 16.679275360 152 DJI_20260816174514_0185_D.JPG

153 0.475034475 0.658419101 -0.469630414 0.346805147 2.852772413 2.717389223 16.310891729 153 DJI_20260816174517_0186_D.JPG

154 -0.405779749 -0.564918942 0.580647865 -0.423151795 1.199609810 2.489609179 16.735834501 154 DJI_20260816174520_0187_D.JPG

155 0.554635477 0.771450805 -0.249313009 0.187313019 7.597431438 3.635649084 13.426878139 155 DJI_20260816174523_0188_D.JPG

156 -0.306597778 -0.428790717 0.687427416 -0.499579695 -2.965832339 2.582647127 16.353051855 156 DJI_20260816174526_0189_D.JPG

157 0.584792828 0.811155329 0.005751315 0.003362018 11.399082452 5.608425092 7.567186479 157 DJI_20260816174529_0190_D.JPG

