# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
85 -0.187076959 -0.388772063 0.813885625 -0.389164083 5.065391095 -5.778185362 32.889767116 85 DJI_20260822182145_0798_D.JPG

86 -0.122195293 -0.254507631 0.865922799 -0.412882407 -1.014427765 -6.208440932 33.314980107 86 DJI_20260822182148_0799_D.JPG

87 -0.116475135 -0.242372310 0.869487570 -0.414343544 3.081732063 -6.491177659 33.647300176 87 DJI_20260822182151_0800_D.JPG

88 -0.298412630 -0.556914580 0.683210779 -0.366086169 6.655065971 -3.312293848 34.018291071 88 DJI_20260822182154_0801_D.JPG

89 0.010352180 0.013615089 0.885255268 -0.464790891 -17.169732700 -5.763182991 36.532653452 89 DJI_20260822182157_0802_D.JPG

90 0.010944455 0.010669265 0.877891832 -0.478614999 -9.357774316 -6.745065330 35.341279634 90 DJI_20260822182200_0803_D.JPG

91 0.077253959 0.167068756 0.907932743 -0.376534183 -7.315317412 -11.064428334 27.797449100 91 DJI_20260822182203_0804_D.JPG

92 0.018031632 0.017472234 0.866395636 -0.498726561 -5.500626162 -6.468485961 32.748100437 92 DJI_20260822182206_0805_D.JPG

93 -0.084364261 -0.158323383 0.851837869 -0.492126633 2.506108949 -7.942789006 32.463105232 93 DJI_20260822182209_0806_D.JPG

94 0.014245574 0.009541350 0.843073254 -0.537525362 -3.067459539 -6.632036504 31.997270737 94 DJI_20260822182212_0807_D.JPG

95 0.057898992 0.081035661 0.838697671 -0.535413061 -6.340555506 -6.294239150 31.385728307 95 DJI_20260822182215_0808_D.JPG

96 0.082854536 0.123709654 0.833264748 -0.532448033 -7.435102294 -6.008269934 30.828874816 96 DJI_20260822182218_0809_D.JPG

97 -0.093447654 -0.156868211 0.829139063 -0.528382734 2.721707638 -6.398829169 32.455499788 97 DJI_20260822182221_0810_D.JPG

98 -0.020289495 -0.048690949 0.865600330 -0.497949391 -3.177601400 -6.813269543 33.369068338 98 DJI_20260822182224_0811_D.JPG

99 -0.065624194 -0.126759269 0.858097632 -0.493248423 1.708915747 -6.770921630 33.286480922 99 DJI_20260822182227_0812_D.JPG

100 0.085951604 0.162303660 0.885804391 -0.426169478 -7.599531729 -8.638057778 28.315736420 100 DJI_20260822182230_0813_D.JPG

101 0.034508385 0.056863961 0.899230891 -0.432388096 -2.784585470 -9.394511270 29.262008609 101 DJI_20260822182233_0814_D.JPG

102 0.011430595 0.009381311 0.872782941 -0.487884484 -4.368046293 -6.088821836 35.593892848 102 DJI_20260822182236_0815_D.JPG

103 0.018893004 0.019132839 0.866762567 -0.497995623 -2.546927836 -6.451216257 32.723974121 103 DJI_20260822182239_0816_D.JPG

104 0.022222849 0.035798751 0.922567575 -0.383527917 -1.426597828 -10.487156459 29.998966770 104 DJI_20260822182242_0817_D.JPG

105 0.010688635 0.011389021 0.886049720 -0.463327031 -9.414197076 -5.958533233 36.454263506 105 DJI_20260822182245_0818_D.JPG

106 0.010685422 0.015453168 0.864045815 -0.503062472 -23.493913633 -2.656069246 36.902537654 106 DJI_20260822182248_0819_D.JPG

107 -0.217178556 -0.452207706 0.780259342 -0.373546549 4.789187420 -5.163602333 32.143025819 107 DJI_20260822182251_0820_D.JPG

108 -0.226738442 -0.471973264 0.768230693 -0.368310357 3.074760441 -6.853332914 34.085657440 108 DJI_20260822182254_0821_D.JPG

109 -0.103332361 -0.215436532 0.877089477 -0.416681622 3.821580097 -6.791513603 33.822033288 109 DJI_20260822182257_0822_D.JPG

110 0.004545537 0.011373483 0.914875092 -0.403551173 -3.404782862 -8.282549383 33.264396123 110 DJI_20260822182300_0823_D.JPG

111 0.013616358 0.028228668 0.897177199 -0.440557385 1.154133222 -5.883260108 34.272631425 111 DJI_20260822182303_0824_D.JPG

